RED,GREEN,BLUE,LIGHT_OR_DARK_FONT_IND
0,0,0,0
0,0,128,0
0,0,139,0
0,0,205,0
0,0,238,0
0,0,255,0
0,100,0,0
0,104,139,0
0,128,0,0
0,128,128,0
0,134,139,0
0,139,0,0
0,139,139,0
0,139,69,0
0,154,205,0
0,178,238,1
0,191,255,1
0,197,205,1
0,199,140,1
0,201,87,1
0,205,0,0
0,205,102,1
0,205,205,1
0,206,209,1
0,229,238,1
0,238,0,1
0,238,118,1
0,238,238,1
0,245,255,1
0,250,154,1
0,255,0,1
0,255,127,1
0,255,255,1
0,26,128,0
0,51,0,0
0,51,51,0
100,149,237,1
10,10,10,0
102,102,0,0
102,102,102,0
102,102,102,0
102,128,230,1
102,139,139,1
102,153,102,1
102,153,153,1
102,205,0,1
102,205,170,1
102,26,51,0
102,51,102,0
102,77,179,0
104,131,139,0
104,34,139,0
105,105,105,0
105,105,105,0
105,139,105,0
105,139,34,0
105,89,205,0
106,90,205,0
107,107,107,0
107,142,35,0
108,123,139,0
108,166,205,1
110,110,110,0
110,123,139,0
110,139,61,0
112,112,112,0
112,128,144,0
113,113,198,0
113,198,113,1
115,115,115,0
117,117,117,0
118,238,0,1
118,238,198,1
119,136,153,1
120,120,120,0
121,205,205,1
122,103,238,0
122,122,122,0
122,139,139,1
122,197,205,1
122,55,139,0
123,104,238,0
124,205,124,1
124,252,0,1
125,125,125,0
125,158,192,1
125,38,205,0
126,192,238,1
127,127,127,0
127,255,0,1
127,255,212,1
128,0,0,0
128,0,128,0
128,102,204,0
128,128,0,0
128,128,105,0
128,128,128,1
128,128,128,1
128,128,26,0
128,138,135,1
128,153,255,1
128,179,128,1
128,179,179,1
128,51,77,0
128,77,128,0
130,130,130,1
131,111,255,1
131,139,131,1
131,139,139,1
13,13,13,0
132,112,255,1
132,132,132,1
133,133,133,1
135,135,135,1
135,206,235,1
135,206,250,1
135,206,255,1
135,38,87,0
137,104,205,0
138,138,138,1
138,43,226,0
138,51,36,0
138,54,15,0
139,0,0,0
139,0,139,0
139,101,8,0
139,102,139,0
139,105,105,0
139,105,20,0
139,10,80,0
139,115,85,0
139,117,0,0
139,119,101,0
139,121,94,0
139,123,139,1
139,125,107,0
139,125,123,1
139,126,102,0
139,129,76,0
139,131,120,1
139,131,134,1
139,134,130,1
139,134,78,1
139,136,120,1
139,137,112,1
139,137,137,1
139,139,0,0
139,139,122,1
139,139,131,1
139,26,26,0
139,28,98,0
139,34,82,0
139,35,35,0
139,37,0,0
139,54,38,0
139,58,58,0
139,58,98,0
139,62,47,0
139,69,0,0
139,69,19,0
139,71,137,0
139,71,38,0
139,71,93,0
139,76,57,0
139,87,66,0
139,90,0,0
139,90,43,0
139,95,101,0
139,99,108,0
140,140,140,1
141,182,205,1
141,238,238,1
142,142,142,1
142,142,56,1
142,229,238,1
142,56,142,0
143,143,143,1
143,188,143,1
144,238,144,1
145,145,145,1
145,44,238,0
147,112,219,1
148,0,211,0
148,148,148,1
150,150,150,1
150,205,205,1
151,255,255,1
15,15,15,0
152,245,255,1
152,251,152,1
153,0,0,0
153,102,0,0
153,102,153,0
153,128,230,1
153,153,0,1
153,153,153,1
153,153,153,1
153,153,51,1
153,179,255,1
153,204,153,1
153,204,204,1
153,50,204,0
153,51,0,0
153,77,0,0
153,77,102,0
154,192,205,1
154,205,50,1
154,255,154,1
154,50,205,0
155,205,155,1
155,48,255,0
156,102,31,0
156,156,156,1
158,158,158,1
159,121,238,1
159,182,205,1
160,82,45,0
161,161,161,1
162,181,205,1
162,205,90,1
163,163,163,1
164,211,238,1
165,42,42,0
166,166,166,1
16,78,139,0
168,168,168,1
169,169,169,1
170,170,170,1
171,130,255,1
171,171,171,1
173,173,173,1
173,216,230,1
173,255,47,1
174,238,238,1
176,176,176,1
176,196,222,1
176,224,230,1
176,226,255,1
176,23,31,0
178,223,238,1
178,34,34,0
178,58,238,0
179,102,128,1
179,102,26,0
179,128,179,1
179,128,26,1
179,153,255,1
179,179,179,1
179,179,179,1
179,179,26,1
179,179,77,1
179,204,255,1
179,230,179,1
179,230,230,1
179,238,58,1
179,26,26,0
179,77,26,0
180,205,205,1
180,238,180,1
180,82,205,0
181,181,181,1
18,18,18,0
183,183,183,1
184,134,11,1
184,184,184,1
185,211,238,1
186,186,186,1
186,85,211,1
187,255,255,1
188,143,143,1
188,210,238,1
188,238,104,1
189,183,107,1
189,189,189,1
189,252,201,1
191,191,191,1
191,239,255,1
191,62,255,0
192,192,192,1
192,255,62,1
193,193,193,1
193,205,193,1
193,205,205,1
193,255,193,1
194,194,194,1
196,196,196,1
197,193,170,1
198,113,113,1
198,226,255,1
199,199,199,1
199,21,133,0
199,97,20,0
201,201,201,1
20,20,20,0
202,225,255,1
202,255,112,1
204,102,51,0
204,128,153,1
204,128,51,1
204,153,204,1
204,153,51,1
204,179,255,1
204,204,102,1
204,204,204,1
204,204,204,1
204,204,51,1
204,230,255,1
204,255,204,1
204,255,255,1
204,51,51,0
205,0,0,0
205,0,205,0
205,102,0,0
205,102,29,0
205,104,137,1
205,104,57,1
205,105,201,1
0,0,0,0
0,0,128,0
0,0,139,0
0,0,205,0
0,0,238,0
0,0,255,0
0,100,0,0
0,104,139,0
0,128,0,0
0,128,128,0
0,134,139,0
0,139,0,0
0,139,139,0
0,139,69,0
0,154,205,0
0,178,238,1
0,191,255,1
0,197,205,1
0,199,140,1
0,201,87,1
0,205,0,0
0,205,102,1
0,205,205,1
0,206,209,1
0,229,238,1
0,238,0,1
0,238,118,1
0,238,238,1
0,245,255,1
0,250,154,1
0,255,0,1
0,255,127,1
0,255,255,1
0,26,128,0
0,51,0,0
0,51,51,0
100,149,237,1
10,10,10,0
102,102,0,0
102,102,102,0
102,102,102,0
102,128,230,1
102,139,139,1
102,153,102,1
102,153,153,1
102,205,0,1
102,205,170,1
102,26,51,0
102,51,102,0
102,77,179,0
104,131,139,0
104,34,139,0
105,105,105,0
105,105,105,0
105,139,105,0
105,139,34,0
105,89,205,0
106,90,205,0
107,107,107,0
107,142,35,0
108,123,139,0
108,166,205,1
110,110,110,0
110,123,139,0
110,139,61,0
112,112,112,0
112,128,144,0
113,113,198,0
113,198,113,1
115,115,115,0
117,117,117,0
118,238,0,1
118,238,198,1
119,136,153,1
120,120,120,0
121,205,205,1
122,103,238,0
122,122,122,0
122,139,139,1
122,197,205,1
122,55,139,0
123,104,238,0
124,205,124,1
124,252,0,1
125,125,125,0
125,158,192,1
125,38,205,0
126,192,238,1
127,127,127,0
127,255,0,1
127,255,212,1
128,0,0,0
128,0,128,0
128,102,204,0
128,128,0,0
128,128,105,0
128,128,128,1
128,128,128,1
128,128,26,0
128,138,135,1
128,153,255,1
128,179,128,1
128,179,179,1
128,51,77,0
128,77,128,0
130,130,130,1
131,111,255,1
131,139,131,1
131,139,139,1
13,13,13,0
132,112,255,1
132,132,132,1
133,133,133,1
135,135,135,1
135,206,235,1
135,206,250,1
135,206,255,1
135,38,87,0
137,104,205,0
138,138,138,1
138,43,226,0
138,51,36,0
138,54,15,0
139,0,0,0
139,0,139,0
139,101,8,0
139,102,139,0
139,105,105,0
139,105,20,0
139,10,80,0
139,115,85,0
139,117,0,0
139,119,101,0
139,121,94,0
139,123,139,1
139,125,107,0
139,125,123,1
