DAYS_SINCE_INSTALL,FLIGHT_HOURS,ENV_TEMPERATURE,REPLACEMENT_NEEDED
93,792,126,1
11,107,113,1
23,152,110,1
32,375,110,1
141,701,110,1
21,143,107,1
68,453,107,1
72,754,107,1
33,185,106,1
106,715,106,1
152,1046,106,1
83,1113,106,1
175,1616,106,1
198,1823,106,1
183,1832,106,1
11,60,105,1
15,67,105,1
127,250,105,1
129,750,105,1
33,285,103,0
73,677,103,1
142,1825,102,0
1,6,102,0
62,239,101,0
40,167,100,0
32,301,100,0
92,988,100,1
135,1002,99,0
61,334,99,0
134,473,98,1
80,729,98,1
127,441,97,0
20,204,96,0
29,213,96,0
156,1228,96,1
3,24,95,0
80,859,95,1
192,943,94,0
128,322,93,0
56,656,93,0
152,1475,93,0
26,239,93,0
95,379,92,0
116,1000,92,0
89,373,92,0
134,585,92,1
13,144,91,0
61,269,91,0
74,301,91,0
45,429,91,0
200,1237,91,0
177,1255,91,0
165,1403,91,0
95,900,91,1
154,1608,91,1
63,434,90,0
125,1478,90,0
117,1244,89,1
69,544,89,0
18,91,88,0
164,1046,88,1
167,1533,88,1
125,544,88,0
92,730,88,1
133,772,88,0
197,344,87,0
45,371,87,0
35,283,87,1
135,1230,87,1
53,628,87,0
82,486,86,0
12,118,86,0
90,768,86,0
16,126,85,0
12,181,85,0
195,1586,85,1
183,2241,85,1
98,612,85,0
171,1417,84,1
145,1620,84,1
122,818,84,0
79,995,84,0
82,156,83,0
200,1114,83,1
174,1187,83,1
167,2397,83,1
39,301,83,1
40,304,83,0
36,307,83,0
45,423,83,0
51,531,83,0
108,607,83,1
124,896,83,0
161,1042,82,1
169,1482,82,1
178,1534,82,1
78,628,82,1
101,723,82,1
98,1155,81,0
131,1246,81,1
164,1801,81,1
149,2110,81,1
31,115,81,0
21,223,81,0
3,4,80,0
23,149,80,0
63,424,80,0
189,1116,80,1
128,146,80,0
51,457,80,0
175,1053,79,1
61,462,79,1
108,722,79,0
111,902,79,0
66,402,78,0
10,61,78,0
34,346,78,0
137,621,78,0
93,656,78,0
194,775,78,0
61,822,78,0
170,1717,77,1
43,459,77,0
173,619,77,1
79,937,77,0
15,84,76,0
43,268,76,0
38,424,76,0
159,1265,76,1
169,1681,76,1
50,525,76,0
110,561,76,0
139,1316,75,1
3,15,75,0
95,556,75,0
83,606,75,0
179,1244,74,1
131,1317,74,1
1,5,74,0
66,627,74,1
161,853,74,0
97,910,74,0
200,1337,73,0
58,325,73,1
155,1336,73,1
140,1446,73,1
179,1863,73,1
39,331,73,0
119,379,73,0
118,386,73,0
48,258,72,0
63,429,72,0
149,494,72,0
199,1113,72,1
70,506,72,0
97,608,72,0
14,133,71,0
179,1088,71,1
145,1151,71,1
138,1232,71,1
186,1254,71,1
183,1910,71,1
193,2051,71,1
17,123,71,0
20,196,71,1
25,226,71,0
57,652,71,0
175,1201,70,0
85,288,70,1
90,1105,70,1
166,1560,70,1
143,1740,70,1
17,165,70,0
20,246,70,0
148,537,70,1
59,562,70,0
51,393,69,0
150,1600,69,1
192,2179,69,1
48,363,69,0
165,872,69,1
119,983,69,0
126,984,69,0
38,268,68,0
109,363,68,0
150,1080,68,1
67,714,68,0
148,997,68,0
9,99,67,0
40,449,67,0
194,1648,67,1
16,139,67,0
44,349,67,0
44,379,67,0
48,392,67,0
102,504,67,0
