x1,x2,y
0,22,88
1,13,62
1,15,67
1,14,62
2,18,77
2,13,65
2,11,56
3,2,34
3,13,66
4,16,75
4,7,49
4,28,112
4,18,82
4,6,46
5,20,92
6,3,39
7,23,105
8,16,82
8,5,51
9,18,91
10,9,67
10,19,97
10,15,87
11,6,61
11,13,80
13,2,54
13,17,98
14,30,140
14,29,135
15,27,130
16,5,68
17,21,117
17,21,115
17,7,75
17,24,127
17,12,90
18,26,136
18,1,57
20,30,152
21,1,63
21,9,89
21,25,136
21,6,79
22,21,126
23,1,71
23,9,94
23,20,128
23,5,81
23,30,155
24,14,111
24,6,86
24,26,146
24,3,76
25,5,87
25,27,150
25,14,113
26,10,103
26,16,122
27,16,120
27,3,83
28,13,115
28,2,83
28,15,119
28,24,148
28,12,111
29,12,116
30,2,87
30,3,91
30,18,136
