x,y
14.94,608.79
9.94,318.22
4.19,99.77
14.02,581.04
1.47,65.07
17.31,818.03
19.54,1125.29
7.42,120.58
8.03,130.18
14.22,548.13
8.63,52.28
15.11,635.53
15.48,723.64
8.36,143.99
19.81,1244.98
17.9,1056.89
1.09,-4.88
8.79,129.57
19.71,1164.38
4.16,98.92
8.47,237.1
2.96,-7.47
5.18,74.48
17.21,854.2
12.5,323.08
4.61,0.26
13.69,529.62
5.36,106.11
3.53,144.24
19.86,1208.97
14.57,613.79
5.21,84.72
2.14,69.77
18.28,1045.22
10.99,278.53
14.42,495.57
10.56,347.46
9.1,169.19
4.17,91.05
16.9,827.47
15.0,590.54
9.65,294.01
11.53,369.13
7.45,156.88
14.49,615.14
13.31,473.36
15.22,673.23
10.48,310.88
6.89,169.19
6.27,86.2
14.73,564.78
5.22,17.4
14.4,550.37
2.55,60.6
17.5,868.71
10.4,196.11
17.45,779.78
7.81,172.47
10.8,262.48
