RECORD_ID,ORDER_DATE1,ORDER_DATE2,ORDER_DATE_TM1,ORDER_DATE_TM2,ORDER_DATE_TM3
1,2022-01-22,1/22/22,1/22/22 16:08,22-Jan-22 4:08 PM,"Sat January 22, 2022 16:08"
2,2022-09-25,9/25/22,9/25/22 20:16,22-Sep-25 8:16 PM,"Sun September 25, 2022 20:16"
3,2022-07-31,7/31/22,7/31/22 0:32,22-Jul-31 12:32 AM,"Sun July 31, 2022 0:32"
4,2022-07-20,7/20/22,7/20/22 11:57,22-Jul-20 11:57 AM,"Wed July 20, 2022 11:57"
5,2022-04-26,4/26/22,4/26/22 0:48,22-Apr-26 12:48 AM,"Tue April 26, 2022 0:48"
6,2022-11-01,11/1/22,11/1/22 21:29,22-Nov-01 9:29 PM,"Tue November 1, 2022 21:29"
7,2022-12-06,12/6/22,12/6/22 19:26,22-Dec-06 7:26 PM,"Tue December 6, 2022 19:26"
8,2022-01-07,1/7/22,1/7/22 3:47,22-Jan-07 3:47 AM,"Fri January 7, 2022 3:47"
9,2022-01-31,1/31/22,1/31/22 16:19,22-Jan-31 4:19 PM,"Mon January 31, 2022 16:19"
10,2022-08-27,8/27/22,8/27/22 18:44,22-Aug-27 6:44 PM,"Sat August 27, 2022 18:44"
11,2022-03-05,3/5/22,3/5/22 3:00,22-Mar-05 3:00 AM,"Sat March 5, 2022 3:00"
12,2022-02-16,2/16/22,2/16/22 8:12,22-Feb-16 8:12 AM,"Wed February 16, 2022 8:12"
13,2022-01-24,1/24/22,1/24/22 17:27,22-Jan-24 5:27 PM,"Mon January 24, 2022 17:27"
14,2022-04-04,4/4/22,4/4/22 16:25,22-Apr-04 4:25 PM,"Mon April 4, 2022 16:25"
15,2022-08-08,8/8/22,8/8/22 12:26,22-Aug-08 12:26 PM,"Mon August 8, 2022 12:26"
16,2022-12-08,12/8/22,12/8/22 0:43,22-Dec-08 12:43 AM,"Thu December 8, 2022 0:43"
17,2022-04-04,4/4/22,4/4/22 10:48,22-Apr-04 10:48 AM,"Mon April 4, 2022 10:48"
18,2022-01-13,1/13/22,1/13/22 14:16,22-Jan-13 2:16 PM,"Thu January 13, 2022 14:16"
19,2022-05-30,5/30/22,5/30/22 16:37,22-May-30 4:37 PM,"Mon May 30, 2022 16:37"
20,2022-05-09,5/9/22,5/9/22 21:31,22-May-09 9:31 PM,"Mon May 9, 2022 21:31"
21,2022-10-09,10/9/22,10/9/22 6:48,22-Oct-09 6:48 AM,"Sun October 9, 2022 6:48"
22,2022-11-28,11/28/22,11/28/22 11:53,22-Nov-28 11:53 AM,"Mon November 28, 2022 11:53"
23,2022-07-15,7/15/22,7/15/22 22:43,22-Jul-15 10:43 PM,"Fri July 15, 2022 22:43"
24,2022-11-08,11/8/22,11/8/22 10:06,22-Nov-08 10:06 AM,"Tue November 8, 2022 10:06"
25,2022-05-15,5/15/22,5/15/22 23:47,22-May-15 11:47 PM,"Sun May 15, 2022 23:47"
26,2022-11-18,11/18/22,11/18/22 18:43,22-Nov-18 6:43 PM,"Fri November 18, 2022 18:43"
27,2022-08-17,8/17/22,8/17/22 19:57,22-Aug-17 7:57 PM,"Wed August 17, 2022 19:57"
28,2022-06-18,6/18/22,6/18/22 8:04,22-Jun-18 8:04 AM,"Sat June 18, 2022 8:04"
29,2022-12-28,12/28/22,12/28/22 23:36,22-Dec-28 11:36 PM,"Wed December 28, 2022 23:36"
30,2022-04-10,4/10/22,4/10/22 7:50,22-Apr-10 7:50 AM,"Sun April 10, 2022 7:50"
31,2022-09-14,9/14/22,9/14/22 19:15,22-Sep-14 7:15 PM,"Wed September 14, 2022 19:15"
32,2022-01-26,1/26/22,1/26/22 3:03,22-Jan-26 3:03 AM,"Wed January 26, 2022 3:03"
33,2022-01-08,1/8/22,1/8/22 17:53,22-Jan-08 5:53 PM,"Sat January 8, 2022 17:53"
34,2022-06-03,6/3/22,6/3/22 19:33,22-Jun-03 7:33 PM,"Fri June 3, 2022 19:33"
35,2022-09-23,9/23/22,9/23/22 10:27,22-Sep-23 10:27 AM,"Fri September 23, 2022 10:27"
36,2022-08-29,8/29/22,8/29/22 9:11,22-Aug-29 9:11 AM,"Mon August 29, 2022 9:11"
37,2022-04-15,4/15/22,4/15/22 13:21,22-Apr-15 1:21 PM,"Fri April 15, 2022 13:21"
38,2022-04-12,4/12/22,4/12/22 13:25,22-Apr-12 1:25 PM,"Tue April 12, 2022 13:25"
39,2022-08-10,8/10/22,8/10/22 9:34,22-Aug-10 9:34 AM,"Wed August 10, 2022 9:34"
40,2022-11-26,11/26/22,11/26/22 1:57,22-Nov-26 1:57 AM,"Sat November 26, 2022 1:57"
41,2022-02-09,2/9/22,2/9/22 11:20,22-Feb-09 11:20 AM,"Wed February 9, 2022 11:20"
42,2022-09-13,9/13/22,9/13/22 0:07,22-Sep-13 12:07 AM,"Tue September 13, 2022 0:07"
43,2022-03-16,3/16/22,3/16/22 14:08,22-Mar-16 2:08 PM,"Wed March 16, 2022 14:08"
44,2022-12-04,12/4/22,12/4/22 9:14,22-Dec-04 9:14 AM,"Sun December 4, 2022 9:14"
45,2022-11-26,11/26/22,11/26/22 19:38,22-Nov-26 7:38 PM,"Sat November 26, 2022 19:38"
46,2022-10-06,10/6/22,10/6/22 18:47,22-Oct-06 6:47 PM,"Thu October 6, 2022 18:47"
47,2022-05-15,5/15/22,5/15/22 12:15,22-May-15 12:15 PM,"Sun May 15, 2022 12:15"
48,2022-03-04,3/4/22,3/4/22 8:18,22-Mar-04 8:18 AM,"Fri March 4, 2022 8:18"
49,2022-02-20,2/20/22,2/20/22 17:40,22-Feb-20 5:40 PM,"Sun February 20, 2022 17:40"
