CUSTOMER_ORDER_ID,CUSTOMER_ID,ORDER_DATE_TM,PRODUCT_ID,QUANTITY
1,9,1/22/22 4:08 PM,7,30
2,4,9/25/22 8:16 PM,7,160
3,4,7/31/22 12:32 AM,4,100
4,8,7/20/22 11:57 AM,4,90
5,2,4/26/22 12:48 AM,10,190
6,5,11/1/22 9:29 PM,12,140
7,4,12/6/22 7:26 PM,4,170
8,2,1/7/22 3:47 AM,2,60
9,7,1/31/22 4:19 PM,13,140
10,10,8/27/22 6:44 PM,15,150
11,4,3/5/22 3:00 AM,14,160
12,6,2/16/22 8:12 AM,14,110
13,9,1/24/22 5:27 PM,6,20
14,7,4/4/22 4:25 PM,7,70
15,10,8/8/22 12:26 PM,7,60
16,4,12/8/22 12:43 AM,13,140
17,8,4/4/22 10:48 AM,2,180
18,4,1/13/22 2:16 PM,7,110
19,3,5/30/22 4:37 PM,9,20
20,8,5/9/22 9:31 PM,8,90
21,10,10/9/22 6:48 AM,5,150
22,4,11/28/22 11:53 AM,10,150
23,6,7/15/22 10:43 PM,3,200
24,8,11/8/22 10:06 AM,11,20
25,4,5/15/22 11:47 PM,14,90
26,9,11/18/22 6:43 PM,2,180
27,6,8/17/22 7:57 PM,12,150
28,4,6/18/22 8:04 AM,10,50
29,9,12/28/22 11:36 PM,3,100
30,9,4/10/22 7:50 AM,8,170
31,6,9/14/22 7:15 PM,6,190
32,4,1/26/22 3:03 AM,5,180
33,6,1/8/22 5:53 PM,9,190
34,6,6/3/22 7:33 PM,7,150
35,3,9/23/22 10:27 AM,15,20
36,8,8/29/22 9:11 AM,12,100
37,5,4/15/22 1:21 PM,2,10
38,7,4/12/22 1:25 PM,8,170
39,8,8/10/22 9:34 AM,14,160
40,2,11/26/22 1:57 AM,14,160
41,4,2/9/22 11:20 AM,8,80
42,4,9/13/22 12:07 AM,6,150
43,7,3/16/22 2:08 PM,3,60
44,6,12/4/22 9:14 AM,7,170
45,8,11/26/22 7:38 PM,12,90
46,7,10/6/22 6:47 PM,7,90
47,8,5/15/22 12:15 PM,1,90
48,10,3/4/22 8:18 AM,1,170
49,9,2/20/22 5:40 PM,11,110
50,4,10/5/22 10:37 AM,2,120
51,7,7/14/22 1:27 AM,3,10
52,6,7/23/22 8:20 AM,4,10
53,8,1/27/22 10:22 AM,13,150
54,10,11/8/22 8:34 PM,11,110
55,2,1/30/22 1:30 AM,5,140
56,4,10/18/22 11:58 AM,6,140
57,7,1/28/22 12:56 PM,2,110
58,5,7/21/22 9:49 AM,15,80
59,6,2/18/22 11:36 AM,1,30
60,8,11/11/22 4:46 AM,8,180
61,7,1/25/22 4:30 AM,10,50
62,3,10/8/22 12:02 PM,8,170
63,3,10/24/22 1:09 PM,8,200
64,10,11/25/22 1:32 AM,13,60
65,7,1/31/22 2:29 AM,6,70
66,8,10/5/22 4:40 PM,5,120
67,8,9/5/22 8:25 PM,4,150
68,8,8/2/22 8:37 AM,10,140
69,9,8/2/22 2:54 AM,10,120
70,6,7/17/22 2:40 AM,6,30
71,10,6/2/22 10:40 PM,13,190
72,8,5/18/22 9:44 PM,4,110
73,6,10/3/22 8:57 AM,14,160
74,7,11/2/22 10:47 AM,13,110
75,7,12/30/22 8:10 PM,13,110
76,10,5/19/22 10:22 AM,2,50
77,8,3/24/22 6:56 PM,13,130
78,5,4/6/22 6:39 PM,4,50
79,6,8/14/22 1:03 PM,14,180
80,10,11/24/22 11:34 AM,9,80
81,5,12/29/22 7:42 PM,11,190
82,8,3/6/22 1:52 AM,1,50
83,8,11/21/22 9:30 AM,6,80
