,active_from,active_to,birth_date,college,height,name,position,url,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
0,1991,1995,"June 24, 1968",Duke University,6-10,Alaa Abdelnaby,F-C,/players/a/abdelal01.html,240,0.0,.000,0.0,.502,.502,2.4,4.8,.701,0.9,1.3,256,5.7,0.0,,0.0,,5.6,.599,3.3,.728,2.5,1.8,134,8.5
1,1969,1978,"April 7, 1946",Iowa State University,6-9,Zaid Abdul-Aziz,C-F,/players/a/abdulza01.html,235,,,,,.428,3.5,8.2,.728,2.0,2.8,505,9.0,,,,,,,,,,,,
2,1970,1989,"April 16, 1947","University of California, Los Angeles",7-2,Kareem Abdul-Jabbar,C,/players/a/abdulka01.html,225,0.0,.056,0.0,.559,.559,10.2,18.1,.721,4.3,6.0,1560,24.6,,,,,16.8,.639,10.7,.628,7.9,5.0,88,26.4
3,1991,2001,"March 9, 1969",Louisiana State University,6-1,Mahmoud Abdul-Rauf,G,/players/a/abdulma02.html,162,2.3,.354,0.8,.472,.442,6.0,13.6,.905,1.8,2.0,586,14.6,7.2,.372,2.7,,21.9,.474,10.4,.863,6.4,5.5,64,29.0
4,1998,2003,"November 3, 1974","University of Michigan, San Jose State University",6-6,Tariq Abdul-Wahad,F,/players/a/abdulta01.html,223,0.3,.237,0.1,.422,.417,3.1,7.3,.703,1.6,2.2,236,7.8,,,,,,,,,,,,
5,1997,2008,"December 11, 1976",University of California,6-9,Shareef Abdur-Rahim,F,/players/a/abdursh01.html,225,0.6,.297,0.2,.479,.472,6.5,13.9,.810,4.8,6.0,830,18.1,0.8,.381,0.3,,14.2,.518,7.4,.683,8.9,6.1,28,21.1
6,1977,1981,"May 6, 1954",Indiana University,6-7,Tom Abernethy,F,/players/a/abernto01.html,220,0.0,.000,0.0,.492,.492,2.3,4.6,.747,1.0,1.4,319,5.6,,,,,4.5,.533,2.4,.689,1.7,1.1,110,5.9
7,1957,1957,"July 27, 1932",Western Kentucky University,6-3,Forest Able,G,/players/a/ablefo01.html,180,,,,,.000,0.0,2.0,,0.0,0.0,1,0.0,,,,,,,,,,,,
8,1947,1948,"February 9, 1919",Salem International University,6-3,John Abramovic,F,/players/a/abramjo01.html,195,,,,,.237,3.6,15.3,.686,2.3,3.3,56,9.5,,,,,,,,,,,,
9,2017,2018,"August 1, 1993",,6-6,Alex Abrines,G-F,/players/a/abrinal01.html,190,3.3,.379,1.2,.533,.393,1.7,4.4,.871,0.6,0.7,142,5.3,,,,,,,,,,,,
10,2006,2009,"January 21, 1983",Pepperdine University,6-5,Alex Acker,G,/players/a/ackeral01.html,185,0.8,.320,0.3,.413,.370,1.1,3.1,.500,0.2,0.3,30,2.7,3.3,.411,1.4,,11.2,.457,5.1,.823,3.5,2.9,88,14.5
11,1954,1954,"September 4, 1930",Long Island University,6-0,Don Ackerman,G,/players/a/ackerdo01.html,183,,,,,.222,0.5,2.3,.536,0.5,1.0,28,1.5,,,,,,,,,,,,
12,1988,1993,"November 15, 1962",Oral Roberts University,6-11,Mark Acres,F-C,/players/a/acresma01.html,220,0.0,.538,0.0,.509,.506,1.4,2.7,.665,0.8,1.2,375,3.6,,,,,12.9,.564,7.3,.696,5.7,4.0,110,18.5
13,1968,1968,"January 11, 1942",Hillsdale College,6-6,Bud Acton,F,/players/a/actonbu01.html,210,,,,,.392,1.3,3.2,.655,0.8,1.3,23,3.3,,,,,,,,,,,,
14,2013,2018,"October 6, 1990",Baylor University,6-7,Quincy Acy,F,/players/a/acyqu01.html,240,1.5,.355,0.5,.516,.446,1.8,4.0,.761,0.9,1.2,325,5.0,0.1,.429,0.0,,6.0,.602,3.6,.708,3.6,2.5,139,9.8
15,1976,1988,"July 19, 1954",University of Oklahoma,6-9,Alvan Adams,C-F,/players/a/adamsal01.html,210,0.0,.133,0.0,.498,.498,5.8,11.6,.788,2.5,3.2,988,14.1,,,,,18.0,.539,9.7,.702,5.6,3.9,73,23.4
16,1971,1977,"November 27, 1947",Northwestern University,6-6,Don Adams,F,/players/a/adamsdo01.html,210,0.1,.000,0.0,.402,.402,3.5,8.7,.741,1.8,2.5,523,8.8,,,,,,,,,,,,
17,1973,1975,"May 15, 1949",Gardner-Webb University,6-5,George Adams,F-G,/players/a/adamsge01.html,210,0.1,.235,0.0,.499,.497,3.3,6.7,.794,1.0,1.3,215,7.7,,,,,,,,,,,,
18,2007,2009,"June 20, 1984",University of Arizona,6-4,Hassan Adams,G,/players/a/adamsha01.html,220,0.0,.000,0.0,.534,.534,1.1,2.0,.643,0.4,0.6,73,2.5,1.9,.311,0.6,,11.6,.499,5.8,.704,2.7,1.9,130,14.0
